threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
0.06,0.0547026498119511,0.0512738048456215,0.0431623681055698
0.06,0.0549999644115871,0.0515458797380696,0.0431623681055698
0.06,0.0531382512839243,0.051737946197525,0.0431623681055698
0.06,0.0545840169989351,0.0520501636698826,0.0431623681055698
0.06,0.0537905863657657,0.0518039938640276,0.0431623681055698
0.06,0.053544384470003,0.0514842490154977,0.0431623681055698
0.06,0.0538608351027542,0.0520108141611774,0.0431623681055698
0.06,0.0542890642866276,0.0522839379394312,0.0431623681055698
0.06,0.0536262204201853,0.0516593090828342,0.0431623681055698
0.06,0.0539280365769171,0.0518803520483444,0.0431623681055698
