threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
0.1,0.0395075861509297,0.0395297596314743,0.0394749649847665
0.1,0.0395378672319231,0.0395937710863429,0.0394749649847665
0.1,0.0395450275063231,0.0395623257512223,0.0394749649847665
0.1,0.0395661645404465,0.0395611709380702,0.0394749649847665
0.1,0.0395459074944259,0.0395316970199714,0.0394749649847665
0.1,0.0395761128618959,0.039606928795041,0.0394749649847665
0.1,0.0395524749078378,0.039621562789547,0.0394749649847665
0.1,0.0395317638666028,0.0395958131809722,0.0394749649847665
0.1,0.0395581402105074,0.0395235174754985,0.0394749649847665
0.1,0.0395970267766328,0.0395812977818146,0.0394749649847665
