threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
0.005,5.25616446042127e-16,0.00461527580815961,0
0.005,1.27287558892576e-15,0.00462740863180532,0
0.005,1.0720560861934e-15,0.00461894351541244,0
0.005,1.24657607183184e-15,0.00461847973333078,0
0.005,1.19909153796011e-15,0.0046058417654821,0
0.005,1.3723355349703802e-15,0.00462733374089888,0
0.005,1.0909326276558102e-15,0.00462292290779056,0
0.005,8.42167125139698e-16,0.00462987950315245,0
0.005,1.83436926618608e-15,0.00462808738356013,0
0.005,6.149878487838879e-16,0.00462046640133325,0
