threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
0.02,0.00101784382976204,0.0015126851312392,5.76454773061188e-6
0.02,0.00108939073930599,0.00115228229913872,5.76454773061188e-6
0.02,0.00122305665933326,0.00159204805111401,5.76454773061188e-6
0.02,0.00126765410782128,0.00122120086347102,5.76454773061188e-6
0.02,0.00103139460103166,0.00201788070407404,5.76454773061188e-6
0.02,0.00121020174758002,0.00100451678919985,5.76454773061188e-6
0.02,0.00104141425411467,0.00115859956893408,5.76454773061188e-6
0.02,0.00105637114829343,0.00216856638158407,5.76454773061188e-6
0.02,0.0010161079413202,0.00221319222893071,5.76454773061188e-6
0.02,0.00128235161257416,0.00133226148704459,5.76454773061188e-6
